date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:17:15	26738/26738	---MCZ	200	added ('OK')	text/html	etag:W/%226872-5d67ba9eea48e%22	http://learningexample.com/anime-index.html	E:/My%20Portfolio%20project/1/learningexample.com/anime-index.html	(from )
02:17:15	385/385	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Jul%202022%2021:17:14%20GMT	http://learningexample.com/robots.txt		(from )
02:17:15	2388/2388	---M--	200	added ('OK')	image/png	etag:%22954-5d67bab994497%22	http://learningexample.com/assets/images/dark/icon.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/dark/icon.png	(from http://learningexample.com/anime-index.html)
02:17:16	121457/121457	---M--	200	added ('OK')	text/css	etag:%221da71-5d67bad9484bc%22	http://learningexample.com/assets/vendor/bootstrap/dist/css/bootstrap.min.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap/dist/css/bootstrap.min.css	(from http://learningexample.com/anime-index.html)
02:17:17	1797/1797	---M--	200	added ('OK')	text/css	etag:%22705-5d67bacaa83f9%22	http://learningexample.com/assets/vendor/flickity/dist/flickity.min.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/flickity/dist/flickity.min.css	(from http://learningexample.com/anime-index.html)
02:17:17	6951/6951	---M--	200	added ('OK')	text/css	etag:%221b27-5d67bad0ce6d9%22	http://learningexample.com/assets/vendor/magnific-popup/dist/magnific-popup.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/magnific-popup/dist/magnific-popup.css	(from http://learningexample.com/anime-index.html)
02:17:18	30060/30060	---M--	200	added ('OK')	text/css	etag:%22756c-5d67bad5009ec%22	http://learningexample.com/assets/vendor/slider-revolution/css/settings.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/css/settings.css	(from http://learningexample.com/anime-index.html)
02:17:20	140793/140793	---M--	200	added ('OK')	text/css	etag:%22225f9-5d67bad4a0eb5%22	http://learningexample.com/assets/vendor/slider-revolution/css/layers.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/css/layers.css	(from http://learningexample.com/anime-index.html)
02:17:20	59576/59576	---M--	200	added ('OK')	text/css	etag:%22e8b8-5d67bad4ae974%22	http://learningexample.com/assets/vendor/slider-revolution/css/navigation.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/css/navigation.css	(from http://learningexample.com/anime-index.html)
02:17:21	13051/13051	---M--	200	added ('OK')	text/css	etag:%2232fb-5d67bac96bd9a%22	http://learningexample.com/assets/vendor/bootstrap-sweetalert/dist/sweetalert.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap-sweetalert/dist/sweetalert.css	(from http://learningexample.com/anime-index.html)
02:17:22	13125/13125	---M--	200	added ('OK')	text/css	etag:%223345-5d67bad7b20e5%22	http://learningexample.com/assets/vendor/social-likes/dist/social-likes_flat.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/social-likes/dist/social-likes_flat.css	(from http://learningexample.com/anime-index.html)
02:17:24	143022/143022	---M--	200	added ('OK')	text/css	etag:%2222eae-5d67baaa8ac5f%22	http://learningexample.com/assets/css/youplay-anime.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/css/youplay-anime.css	(from http://learningexample.com/anime-index.html)
02:17:25	44/44	---M--	200	added ('OK')	text/css	etag:%222c-5d67baaa79321%22	http://learningexample.com/assets/css/custom.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/css/custom.css	(from http://learningexample.com/anime-index.html)
02:17:25	473/473	---M--	200	added ('OK')	text/css	etag:%221d9-5d67baaa4a525%22	http://learningexample.com/assets/css/custom-anime.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/css/custom-anime.css	(from http://learningexample.com/anime-index.html)
02:17:27	17459/17459	---M--	200	added ('OK')	application/javascript	etag:%224433-5d67bacbee698%22	http://learningexample.com/assets/vendor/fontawesome-free/js/v4-shims.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/fontawesome-free/js/v4-shims.js	(from http://learningexample.com/anime-index.html)
02:17:27	31618/31618	---MCZ	200	added ('OK')	text/html	etag:W/%227b82-5d67baa755813%22	http://learningexample.com/index.html	E:/My%20Portfolio%20project/1/learningexample.com/index.html	(from http://learningexample.com/anime-index.html)
02:17:28	10438/10438	---M--	200	added ('OK')	image/png	etag:%2228c6-5d67baac9a1a9%22	http://learningexample.com/assets/images/logo-light.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/logo-light.png	(from http://learningexample.com/anime-index.html)
02:17:33	32770/32770	---M--	200	added ('OK')	image/jpeg	etag:%228002-5d67baaee6f4d%22	http://learningexample.com/assets/images/anime/banner-bg.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/banner-bg.jpg	(from http://learningexample.com/anime-index.html)
02:17:33	32441/32441	---M--	200	added ('OK')	image/jpeg	etag:%227eb9-5d67baaf42c04%22	http://learningexample.com/assets/images/anime/game-brs-1-1920x1179.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-1-1920x1179.jpg	(from http://learningexample.com/anime-index.html)
02:17:34	7368/7368	---M--	200	added ('OK')	image/jpeg	etag:%221cc8-5d67baaf489c3%22	http://learningexample.com/assets/images/anime/game-brs-1-500x375.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-1-500x375.jpg	(from http://learningexample.com/anime-index.html)
02:17:36	7368/7368	---M--	200	added ('OK')	image/jpeg	etag:%221cc8-5d67baaf796fe%22	http://learningexample.com/assets/images/anime/game-brs-2-500x375.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-2-500x375.jpg	(from http://learningexample.com/anime-index.html)
02:17:39	33831/33831	---M--	200	added ('OK')	image/jpeg	etag:%228427-5d67baaf7393f%22	http://learningexample.com/assets/images/anime/game-brs-2-1920x1006.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-2-1920x1006.jpg	(from http://learningexample.com/anime-index.html)
02:17:39	88145/88145	---M--	200	added ('OK')	application/javascript	etag:%2215851-5d67bacf8843a%22	http://learningexample.com/assets/vendor/jquery/dist/jquery.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/jquery/dist/jquery.min.js	(from http://learningexample.com/anime-index.html)
02:17:40	7368/7368	---M--	200	added ('OK')	image/jpeg	etag:%221cc8-5d67baafa84f9%22	http://learningexample.com/assets/images/anime/game-brs-3-500x375.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-3-500x375.jpg	(from http://learningexample.com/anime-index.html)
02:17:42	34469/34469	---M--	200	added ('OK')	image/jpeg	etag:%2286a5-5d67baafa36da%22	http://learningexample.com/assets/images/anime/game-brs-3-1920x1080.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-3-1920x1080.jpg	(from http://learningexample.com/anime-index.html)
02:17:42	7368/7368	---M--	200	added ('OK')	image/jpeg	etag:%221cc8-5d67baafd8295%22	http://learningexample.com/assets/images/anime/game-brs-4-500x375.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-4-500x375.jpg	(from http://learningexample.com/anime-index.html)
02:17:44	7368/7368	---M--	200	added ('OK')	image/jpeg	etag:%221cc8-5d67bab009f70%22	http://learningexample.com/assets/images/anime/game-brs-5-500x375.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-5-500x375.jpg	(from http://learningexample.com/anime-index.html)
02:17:45	34451/34451	---M--	200	added ('OK')	image/jpeg	etag:%228693-5d67baafd3475%22	http://learningexample.com/assets/images/anime/game-brs-4-1920x1200.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-4-1920x1200.jpg	(from http://learningexample.com/anime-index.html)
02:17:46	7368/7368	---M--	200	added ('OK')	image/jpeg	etag:%221cc8-5d67bab03acab%22	http://learningexample.com/assets/images/anime/game-brs-6-500x375.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-6-500x375.jpg	(from http://learningexample.com/anime-index.html)
